,op_num,cus_num,pause_prob,fix_lam,fix_rls,total_ptcls,multi_run,eps,bf_time,avg_qsz,avg_qpc,avg_wt,job_scale,mean_ot
0,9.37,1.0,0.0,20.0,4.0,5995.8,20.0,0.3,720.0,7.880126523684617,0.0027033024094972958,1.8163370292838081,20.0,7.652830188679245
1,9.37,1.0,0.5,20.0,4.0,5995.05,20.0,0.3,720.0,9.226631692640025,0.003165225280494005,1.704380123231927,20.0,7.652830188679245
2,9.37,1.0,1.0,20.0,4.0,5990.25,20.0,0.3,720.0,10.688782595278507,0.0036668207874025753,1.7325386959426723,20.0,7.652830188679245
3,9.3,1.0,0.0,20.0,4.0,5989.05,20.0,0.29,720.0,7.870151211232834,0.0026998803469066323,1.802600239750495,20.0,7.652830188679245
4,9.3,1.0,0.5,20.0,4.0,5981.5,20.0,0.29,720.0,9.037995679679062,0.0031005130976600554,1.5934073080401028,20.0,7.652830188679245
5,9.3,1.0,1.0,20.0,4.0,5999.85,20.0,0.29,720.0,10.664372781978088,0.0036584469234916253,1.7035998746670953,20.0,7.652830188679245
6,9.23,1.0,0.0,20.0,4.0,5993.0,20.0,0.28,720.0,7.899930566270637,0.0027100962491494467,1.859302666758029,20.0,7.652830188679245
7,9.23,1.0,0.5,20.0,4.0,6012.35,20.0,0.28,720.0,9.544815614874247,0.003274379284690994,2.0436924481671195,20.0,7.652830188679245
8,9.23,1.0,1.0,20.0,4.0,6051.4,20.0,0.28,720.0,10.973113717018979,0.0037643614809670595,1.9667052456031222,20.0,7.652830188679245
9,9.16,1.0,0.0,20.0,4.0,5988.9,20.0,0.27,720.0,7.800825489893535,0.0026760979382139055,1.798985142194455,20.0,7.652830188679245
10,9.16,1.0,0.5,20.0,4.0,5987.75,20.0,0.27,720.0,9.531368615954328,0.0032697662490409358,2.090862531541845,20.0,7.652830188679245
11,9.16,1.0,1.0,20.0,4.0,6020.8,20.0,0.27,720.0,10.823730905724426,0.0037131152335246748,1.9063424257761716,20.0,7.652830188679245
12,9.09,1.0,0.0,20.0,4.0,6002.7,20.0,0.26,720.0,8.136452707915446,0.0027912359203826572,2.1734089739242153,20.0,7.652830188679245
13,9.09,1.0,0.5,20.0,4.0,5986.35,20.0,0.26,720.0,9.376253664557938,0.0032165535727471484,1.9533586371622131,20.0,7.652830188679245
14,9.09,1.0,1.0,20.0,4.0,6012.0,20.0,0.26,720.0,11.102083011880884,0.0038086048068202,2.1670348922081435,20.0,7.652830188679245
15,9.01,1.0,0.0,20.0,4.0,6006.8,20.0,0.25,720.0,8.045725968214782,0.002760111824430457,2.0195163200288104,20.0,7.652830188679245
16,9.01,1.0,0.5,20.0,4.0,5989.9,20.0,0.25,720.0,9.588589723808054,0.003289396131666571,2.163132799847472,20.0,7.652830188679245
17,9.01,1.0,1.0,20.0,4.0,6002.8,20.0,0.25,720.0,11.244885048603612,0.003857593498663332,2.372836037121034,20.0,7.652830188679245
18,8.94,1.0,0.0,20.0,4.0,6012.85,20.0,0.24,720.0,8.528082086097825,0.002925585621302856,2.5651921936638127,20.0,7.652830188679245
19,8.94,1.0,0.5,20.0,4.0,5983.15,20.0,0.24,720.0,9.797878413825028,0.0033611932809005244,2.444104264339193,20.0,7.652830188679245
20,8.94,1.0,1.0,20.0,4.0,6004.65,20.0,0.24,720.0,11.624386668723961,0.003987782733696042,2.7896475237302987,20.0,7.652830188679245
21,8.87,1.0,0.0,20.0,4.0,5992.7,20.0,0.23,720.0,8.578190094121277,0.002942775332460129,2.6016664305828536,20.0,7.652830188679245
22,8.87,1.0,0.5,20.0,4.0,6005.1,20.0,0.23,720.0,10.13768708532634,0.0034777657239541473,2.787003416294014,20.0,7.652830188679245
