,op_num,cus_num,pause_prob,fix_lam,fix_rls,total_ptcls,multi_run,eps,bf_time,avg_qsz,avg_qpc,avg_wt,job_scale,mean_ot
0,46.86,1.0,0.0,50.0,8.0,14937.35,20.0,0.3,720.0,34.07211078537263,0.011688545723970028,0.08304590018326771,50.0,16.301200686106345
1,46.86,1.0,1.0,50.0,8.0,15029.65,20.0,0.3,720.0,50.0342153988582,0.017164396363244665,0.09452379115371386,50.0,16.301200686106345
2,46.5,1.0,0.0,50.0,8.0,14984.55,20.0,0.29,720.0,34.22647739546366,0.011741501679404343,0.11639542398603415,50.0,16.301200686106345
3,46.5,1.0,1.0,50.0,8.0,15011.1,20.0,0.29,720.0,50.30404258602068,0.017256961436027677,0.13471554450672324,50.0,16.301200686106345
4,46.14,1.0,0.0,50.0,8.0,15002.6,20.0,0.28,720.0,34.32750347168647,0.011776158995432752,0.16860459055234084,50.0,16.301200686106345
5,46.14,1.0,1.0,50.0,8.0,15010.95,20.0,0.28,720.0,49.77209535565499,0.017074475250653514,0.11347136212202522,50.0,16.301200686106345
6,45.78,1.0,0.0,50.0,8.0,15016.95,20.0,0.27,720.0,34.20219101990434,0.011733170161202174,0.1300647450931631,50.0,16.301200686106345
7,45.78,1.0,1.0,50.0,8.0,14998.6,20.0,0.27,720.0,50.2084863446999,0.01722418056421952,0.14406918540841013,50.0,16.301200686106345
8,45.42,1.0,0.0,50.0,8.0,15029.95,20.0,0.26,720.0,34.39019441444221,0.011797665322278631,0.19150091874695024,50.0,16.301200686106345
9,45.42,1.0,1.0,50.0,8.0,14978.4,20.0,0.26,720.0,50.2058478629841,0.017223275424694373,0.21395523813962244,50.0,16.301200686106345
10,45.06,1.0,0.0,50.0,8.0,15005.35,20.0,0.25,720.0,34.27940132695572,0.01175965740204313,0.19204547936279825,50.0,16.301200686106345
11,45.06,1.0,1.0,50.0,8.0,15000.2,20.0,0.25,720.0,50.30986730442833,0.01725895962416066,0.24000234422818828,50.0,16.301200686106345
12,44.69,1.0,0.0,50.0,8.0,14996.75,20.0,0.24,720.0,34.4716324641259,0.01182560290364525,0.2631299871377052,50.0,16.301200686106345
13,44.69,1.0,1.0,50.0,8.0,14993.9,20.0,0.24,720.0,50.171115568585094,0.017211360400886826,0.2350851458253171,50.0,16.301200686106345
14,44.33,1.0,0.0,50.0,8.0,15008.75,20.0,0.23,720.0,34.820259219256286,0.011945200418269738,0.3327408080788327,50.0,16.301200686106345
15,44.33,1.0,1.0,50.0,8.0,14973.5,20.0,0.23,720.0,50.311695725968214,0.017259586869971942,0.2871708219460325,50.0,16.301200686106345
16,43.97,1.0,0.0,50.0,8.0,15026.95,20.0,0.22,720.0,34.615437432494986,0.011874935654372207,0.3104756873087944,50.0,16.301200686106345
17,43.97,1.0,1.0,50.0,8.0,14988.25,20.0,0.22,720.0,50.50415830890295,0.017325611769778027,0.3362699004022513,50.0,16.301200686106345
18,43.61,1.0,0.0,50.0,8.0,14991.45,20.0,0.21,720.0,35.00199043357507,0.01200754388801889,0.45355231105887056,50.0,16.301200686106345
19,43.61,1.0,1.0,50.0,8.0,15010.5,20.0,0.21,720.0,50.63521833050455,0.017370572326073603,0.40918377981510845,50.0,16.301200686106345
20,43.25,1.0,0.0,50.0,8.0,14926.95,20.0,0.2,720.0,34.683382194105846,0.011898244320447974,0.3914591325515787,50.0,16.301200686106345
