,op_num,cus_num,pause_prob,fix_lam,fix_rls,total_ptcls,multi_run,eps,bf_time,avg_qsz,avg_qpc,avg_wt,job_scale,mean_ot
0,10.09,1.0,0.0,5.0,17.0,1486.0,20.0,0.4,720.0,7.389353494831044,0.0025349411646075626,2.6566293854873475,5.0,33.59451114922813
1,10.09,1.0,0.5,5.0,17.0,1513.8,20.0,0.4,720.0,9.914835673507174,0.0034013158399681556,4.928209961825754,5.0,33.59451114922813
2,10.09,1.0,1.0,5.0,17.0,1503.8,20.0,0.4,720.0,11.276423391451937,0.003868412827256239,3.89719197822856,5.0,33.59451114922813
3,10.02,1.0,0.0,5.0,17.0,1499.9,20.0,0.39,720.0,7.745147353803426,0.002656997376948002,3.804211325446184,5.0,33.59451114922813
4,10.02,1.0,0.5,5.0,17.0,1510.05,20.0,0.39,720.0,9.560453633698504,0.003279743956671871,4.196585162369068,5.0,33.59451114922813
5,10.02,1.0,1.0,5.0,17.0,1509.95,20.0,0.39,720.0,11.336607005091807,0.003889059006892558,3.987320994450613,5.0,33.59451114922813
6,9.95,1.0,0.0,5.0,17.0,1495.85,20.0,0.38,720.0,8.049251658694645,0.002761321323737443,4.6661326441821664,5.0,33.59451114922813
7,9.95,1.0,0.5,5.0,17.0,1496.4,20.0,0.38,720.0,9.338921462737233,0.0032037466424484503,3.5377670962470313,5.0,33.59451114922813
8,9.95,1.0,1.0,5.0,17.0,1492.45,20.0,0.38,720.0,11.086607005091807,0.003803295713582095,3.4986385388316172,5.0,33.59451114922813
9,9.87,1.0,0.0,5.0,17.0,1485.5,20.0,0.37,720.0,7.852029007869156,0.0026936634675365887,4.069941170641486,5.0,33.59451114922813
10,9.87,1.0,0.5,5.0,17.0,1504.4,20.0,0.37,720.0,9.564326492825181,0.0032810725532847963,3.990686241652496,5.0,33.59451114922813
11,9.87,1.0,1.0,5.0,17.0,1509.85,20.0,0.37,720.0,11.439993828112947,0.0039245261846013535,4.4266516528562745,5.0,33.59451114922813
12,9.8,1.0,0.0,5.0,17.0,1491.7,20.0,0.36,720.0,7.953386823021139,0.002728434587657338,4.633727369532785,5.0,33.59451114922813
13,9.8,1.0,0.5,5.0,17.0,1507.7,20.0,0.36,720.0,9.62225736769017,0.0033009459237359072,4.135757181755259,5.0,33.59451114922813
14,9.8,1.0,1.0,5.0,17.0,1497.65,20.0,0.36,720.0,11.29174510106465,0.0038736689883583707,4.501286157837428,5.0,33.59451114922813
15,9.73,1.0,0.0,5.0,17.0,1479.9,20.0,0.35,720.0,7.718909118963123,0.002647996267225771,4.327965721171022,5.0,33.59451114922813
16,9.73,1.0,0.5,5.0,17.0,1501.1,20.0,0.35,720.0,9.739314920536954,0.0033411028886919224,4.7141198157464945,5.0,33.59451114922813
17,9.73,1.0,1.0,5.0,17.0,1490.7,20.0,0.35,720.0,11.613068970837833,0.003983900161522413,5.58028957582908,5.0,33.59451114922813
18,9.66,1.0,0.0,5.0,17.0,1491.95,20.0,0.34,720.0,8.139314920536954,0.0027922178115049583,5.337858901728225,5.0,33.59451114922813
19,9.66,1.0,0.5,5.0,17.0,1506.7,20.0,0.34,720.0,9.808756364758525,0.0033649249964866294,5.036707387799746,5.0,33.59451114922813
20,9.66,1.0,1.0,5.0,17.0,1501.0,20.0,0.34,720.0,11.834932880728282,0.004060011279838176,6.9728372139268995,5.0,33.59451114922813
21,9.59,1.0,0.0,5.0,17.0,1501.6,20.0,0.33,720.0,8.653903718561951,0.0029687491315821446,7.464048803124764,5.0,33.59451114922813
22,9.59,1.0,0.5,5.0,17.0,1499.05,20.0,0.33,720.0,9.710168183922233,0.0033311040082065983,5.06612346076895,5.0,33.59451114922813
23,9.59,1.0,1.0,5.0,17.0,1506.5,20.0,0.33,720.0,11.805423545749115,0.004049888008833316,6.491194775539542,5.0,33.59451114922813
24,9.51,1.0,0.0,5.0,17.0,1499.1,20.0,0.32,720.0,8.067589878105231,0.0027676123080978493,5.499516333352222,5.0,33.59451114922813
25,9.51,1.0,0.5,5.0,17.0,1492.9,20.0,0.32,720.0,9.990024687548217,0.003427109669827862,6.035877351237741,5.0,33.59451114922813
26,9.51,1.0,1.0,5.0,17.0,1491.05,20.0,0.32,720.0,11.810723653757135,0.0040517062277039915,6.711045048869124,5.0,33.59451114922813
27,9.44,1.0,0.0,5.0,17.0,1494.55,20.0,0.31,720.0,8.408200894923622,0.0028844599982585325,7.036014545526515,5.0,33.59451114922813
28,9.44,1.0,0.5,5.0,17.0,1497.65,20.0,0.31,720.0,10.234516278352105,0.0035109832858840843,7.171008622204843,5.0,33.59451114922813
29,9.44,1.0,1.0,5.0,17.0,1491.5,20.0,0.31,720.0,11.913146119426015,0.004086842579562955,7.188858368008799,5.0,33.59451114922813
30,9.37,1.0,0.0,5.0,17.0,1487.8,20.0,0.3,720.0,8.426801419534023,0.002890840967250094,7.362056326900122,5.0,33.59451114922813
31,9.37,1.0,0.5,5.0,17.0,1491.9,20.0,0.3,720.0,9.967543588952323,0.0034193974576165772,6.550380245156623,5.0,33.59451114922813
32,9.37,1.0,1.0,5.0,17.0,1511.95,20.0,0.3,720.0,11.894684462274343,0.0040805092494937715,7.02921886129686,5.0,33.59451114922813
33,9.3,1.0,0.0,5.0,17.0,1497.5,20.0,0.29,720.0,8.321663323561179,0.002854773009798003,6.701622783777492,5.0,33.59451114922813
34,9.3,1.0,0.5,5.0,17.0,1497.1,20.0,0.29,720.0,10.022967134701435,0.0034384106808581253,6.461579886554641,5.0,33.59451114922813
