,op_num,cus_num,pause_prob,fix_lam,fix_rls,total_ptcls,multi_run,eps,bf_time,avg_qsz,avg_qpc,avg_wt,job_scale,mean_ot
0,9.37,1.0,0.0,10.0,8.0,3018.25,20.0,0.3,720.0,8.134369696034563,0.0027905213365470197,3.1697163618113047,10.0,16.301200686106345
1,9.37,1.0,0.5,10.0,8.0,2987.35,20.0,0.3,720.0,9.641660237617652,0.0033076021398345287,3.115089321488351,10.0,16.301200686106345
2,9.37,1.0,1.0,10.0,8.0,3011.9,20.0,0.3,720.0,11.53389908964666,0.0039567406825546,3.745988023842636,10.0,16.301200686106345
3,9.3,1.0,0.0,10.0,8.0,3005.3,20.0,0.29,720.0,8.806758216324642,0.0030211863520839253,4.647993510637723,10.0,16.301200686106345
4,9.3,1.0,0.5,10.0,8.0,2989.3,20.0,0.29,720.0,9.867620737540504,0.0033851186063603785,3.5623341360659624,10.0,16.301200686106345
5,9.3,1.0,1.0,10.0,8.0,2975.4,20.0,0.29,720.0,11.233027310600216,0.003853525664013796,3.3620935531666305,10.0,16.301200686106345
6,9.23,1.0,0.0,10.0,8.0,3016.4,20.0,0.28,720.0,8.605840148125289,0.002952260771226514,4.224856417680409,10.0,16.301200686106345
7,9.23,1.0,0.5,10.0,8.0,2992.15,20.0,0.28,720.0,10.279162166332355,0.003526299199427909,4.441937606059827,10.0,16.301200686106345
8,9.23,1.0,1.0,10.0,8.0,3022.0,20.0,0.28,720.0,11.887100756056162,0.00407790763501069,4.4285973953439015,10.0,16.301200686106345
9,9.16,1.0,0.0,10.0,8.0,2990.1,20.0,0.27,720.0,8.470027773491745,0.002905669905142966,4.09536056647117,10.0,16.301200686106345
10,9.16,1.0,0.5,10.0,8.0,3013.45,20.0,0.27,720.0,10.260484493133776,0.0035198917643683623,4.361740138532172,10.0,16.301200686106345
11,9.16,1.0,1.0,10.0,8.0,2978.3,20.0,0.27,720.0,11.654945224502391,0.00399826594322552,4.303432046235336,10.0,16.301200686106345
12,9.08,1.0,0.0,10.0,8.0,2968.85,20.0,0.26,720.0,8.323900632618424,0.0028555405257696133,3.9106092834507526,10.0,16.301200686106345
13,9.08,1.0,0.5,10.0,8.0,3004.6,20.0,0.26,720.0,10.098997068353649,0.0034644929908588845,4.185862790973373,10.0,16.301200686106345
14,9.08,1.0,1.0,10.0,8.0,3014.45,20.0,0.26,720.0,12.28180064804814,0.004213310685436755,5.356054709501373,10.0,16.301200686106345
15,9.01,1.0,0.0,10.0,8.0,2995.75,20.0,0.25,720.0,8.998194723036569,0.003086859253185787,5.241729268492626,10.0,16.301200686106345
16,9.01,1.0,0.5,10.0,8.0,3004.6,20.0,0.25,720.0,10.544429871933342,0.003617300127592913,5.139280204231893,10.0,16.301200686106345
17,9.01,1.0,1.0,10.0,8.0,2983.25,20.0,0.25,720.0,11.78957722573677,0.004044451878468874,4.532954135284166,10.0,16.301200686106345
18,8.94,1.0,0.0,10.0,8.0,3000.3,20.0,0.24,720.0,8.801427248881346,0.0030193575467860534,4.7958881635674455,10.0,16.301200686106345
19,8.94,1.0,0.5,10.0,8.0,3004.4,20.0,0.24,720.0,10.353325104150594,0.003551741030583394,4.819189679188905,10.0,16.301200686106345
20,8.94,1.0,1.0,10.0,8.0,3008.2,20.0,0.24,720.0,12.245702823638327,0.004200927212225841,5.4261124401364125,10.0,16.301200686106345
21,8.87,1.0,0.0,10.0,8.0,2999.6,20.0,0.23,720.0,9.049174510106464,0.0031043480309113085,5.463714423483497,10.0,16.301200686106345
22,8.87,1.0,0.5,10.0,8.0,2977.3,20.0,0.23,720.0,10.385519209998458,0.003562785320754188,5.050425322681692,10.0,16.301200686106345
23,8.87,1.0,1.0,10.0,8.0,2985.0,20.0,0.23,720.0,12.032464125906495,0.004127775000310976,5.33540815161716,10.0,16.301200686106345
24,8.79,1.0,0.0,10.0,8.0,2995.95,20.0,0.22,720.0,9.358686931029162,0.003210527249066608,6.150732663331583,10.0,16.301200686106345
25,8.79,1.0,0.5,10.0,8.0,3006.25,20.0,0.22,720.0,11.461448850486034,0.003931886398108417,7.420754765549468,10.0,16.301200686106345
26,8.79,1.0,1.0,10.0,8.0,2971.05,20.0,0.22,720.0,12.26843851257522,0.004208726762461481,5.763717963566767,10.0,16.301200686106345
27,8.72,1.0,0.0,10.0,8.0,2986.95,20.0,0.21,720.0,9.421671038419996,0.003232134146970839,6.3806009371420895,10.0,16.301200686106345
